Sample,SNPs,Total Sequences,Sequence length,%GC,avg_sequence_length,raw_total_sequences,reads_mapped,reads_unmapped,reads_paired,average_quality,reads_mapped_percent,reads_unmapped_percent,library_type,Mean depth,Collection,Collection.1,country of isolation,continent of isolation,United Nations Geographic Region,main_lineage,sub_lineage,DR_type,num_dr_variants,Curated lineage (SITVIT2),Spoligo Binary
DRR188468,1566,2648978,30-350,65,280.6369867926423,2523552,2501492,22060,2523552,30.8,99.12583533051827,0.8741646694817464,paired_end,158.9099999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188469,1501,2561723,30-350,65,276.4761365690201,2429372,2410153,19219,2429372,30.7,99.20889019878388,0.7911098012161168,paired_end,151.0199999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188470,1077,2849831,30-350,65,281.6998727292952,2738910,2714387,24523,2738910,30.8,99.10464381816124,0.8953561818387606,paired_end,171.8599999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,T3-OSA,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188471,1533,2403389,30-350,65,275.5335386822524,2280724,2260795,19929,2280724,30.8,99.12619852292518,0.8738014770748237,paired_end,141.2399999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188472,1500,1662726,30-350,65,275.4814383127466,1601502,1586129,15373,1601502,31.5,99.04008861681099,0.9599113831890314,paired_end,99.3699999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188473,912,2113490,30-350,65,287.2239840264207,2059178,2044502,14676,2059178,31.2,99.28728842285612,0.7127115771438894,paired_end,132.1899999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.3.4.2,Other,1,LAM9,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188474,432,1627022,30-350,65,282.3127554513706,1578398,1568967,9431,1578398,31.4,99.40249544158064,0.5975045584193593,paired_end,100.48,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188475,1517,2190216,30-350,65,286.6035276885933,2131610,2112581,19029,2131610,31.3,99.10729448632723,0.8927055136727637,paired_end,136.3099999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▫▫▪▪▪▪
DRR188476,1541,1596824,30-350,65,273.781204440815,1539548,1523254,16294,1539548,31.5,98.94163741565706,1.058362584342937,paired_end,94.68999999999987,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188477,1509,2603519,30-350,65,282.7387324617181,2531086,2506135,24951,2531086,31.2,99.01421761251888,0.985782387481105,paired_end,159.17,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Pre-MDR,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188478,388,1517414,30-350,65,280.8406855347321,1467616,1459689,7927,1467616,31.4,99.45987233717811,0.5401276628218826,paired_end,93.31000000000004,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188479,1486,2248313,30-350,65,279.1420758586549,2184270,2154941,29329,2184270,31.3,98.65726306729479,1.342736932705206,paired_end,135.2699999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188480,1488,1498430,30-350,65,278.4180455543469,1444934,1433255,11679,1444934,31.4,99.19172778825885,0.8082722117411592,paired_end,90.71999999999993,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188481,1474,1533830,30-350,65,279.4552095082245,1481252,1469343,11909,1481252,31.5,99.19601796318251,0.803982036817503,paired_end,93.38999999999987,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▫▪▪▪
DRR188482,1561,1783075,30-350,65,276.979517967556,1726332,1710970,15362,1726332,31.3,99.11013640481669,0.8898635951833135,paired_end,107.3499999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.2,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188483,1524,2264615,30-350,65,283.2586845887712,2201804,2184517,17287,2201804,31.0,99.21487107844294,0.7851289215570505,paired_end,138.8199999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188484,1587,2246404,30-350,65,273.0937729811735,2129892,2113782,16110,2129892,30.8,99.24362362035258,0.7563763796474188,paired_end,130.9499999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Pre-MDR,2,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188485,1570,3437921,30-350,65,281.7360875947993,3317432,3296178,21254,3317432,30.9,99.35932371786372,0.640676282136303,paired_end,208.2600000000006,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188486,1511,3055375,30-350,65,277.6143452113079,2934438,2914316,20122,2934438,30.8,99.3142809628283,0.6857190371716833,paired_end,181.8600000000002,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188487,1517,2807281,30-350,65,279.2302558952951,2707692,2687458,20234,2707692,30.8,99.25272150599108,0.7472784940089198,paired_end,168.27,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188488,417,2006777,30-350,65,285.1424009742987,1948210,1938945,9265,1948210,31.0,99.52443525082,0.4755647491800166,paired_end,124.69,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188489,1521,1988979,30-350,65,283.2181958683324,1917764,1906851,10913,1917764,30.9,99.4309518793762,0.5690481206238098,paired_end,121.8099999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188490,859,1825895,30-350,65,287.2385400036694,1767708,1758741,8967,1767708,31.0,99.49273296268387,0.5072670373161178,paired_end,114.1499999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4,Sensitive,0,T1,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188491,2202,1881255,30-350,65,284.7567820417753,1825142,1810505,14637,1825142,30.9,99.19803500220806,0.8019649977919527,paired_end,115.6999999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage1,lineage1.2.1,Sensitive,0,EAI2-Manila,▪▪▫▪▪▪▪▪▪▫▪▪▪▪▪▪▪▪▪▫▫▪▪▪▪▪▪▪▫▫▫▫▪▫▪▪▪▪▪▪▪▪▪
DRR188492,1472,1640569,30-350,65,279.8575445470444,1572314,1562817,9497,1572314,31.0,99.39598578909809,0.6040142109018937,paired_end,99.24999999999987,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.1,Sensitive,0,Manu_ancestor,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪
DRR188493,1523,1873360,30-350,65,279.7499188623649,1802712,1790118,12594,1802712,31.2,99.30138591189275,0.6986140881072517,paired_end,113.6599999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188494,1512,2208556,30-350,65,277.8253492327113,2116314,2099708,16606,2116314,32.5,99.21533383042404,0.7846661695759702,paired_end,134.1199999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188495,944,1956520,30-350,65,287.5179011714677,1905132,1893141,11991,1905132,30.9,99.37059479343165,0.6294052065683637,paired_end,122.4,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.5,Sensitive,0,,▪▪▪▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▫▫▫▫▪▫▫▫▫▪▪▪▪▫▫▫
DRR188496,1570,1601580,30-350,65,287.0159642353176,1556312,1546926,9386,1556312,30.9,99.3969075609518,0.6030924390482114,paired_end,99.94999999999986,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188497,1489,1932846,30-350,65,266.263820294012,1781338,1768690,12648,1781338,32.0,99.28997191998373,0.7100280800162575,paired_end,110.2899999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188498,1583,1683648,30-350,65,262.9365294883491,1536874,1528050,8824,1536874,32.0,99.42584753206836,0.5741524679316587,paired_end,94.69999999999986,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188499,1066,2158404,30-350,65,277.8393331368919,2036770,2023005,13765,2036770,31.8,99.32417504185548,0.6758249581445132,paired_end,129.5799999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.2.2,Sensitive,0,T3-OSA,▪▪▪▪▫▫▫▫▪▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
DRR188500,1573,1823174,30-350,65,270.6855703295462,1712154,1702042,10112,1712154,31.9,99.40939892089146,0.5906010791085381,paired_end,106.6299999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188501,1504,2180429,30-350,65,271.7766109329861,2042916,2029790,13126,2042916,32.0,99.35748704303064,0.6425129569693516,paired_end,127.6399999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188502,1530,2154803,30-350,65,271.936240111045,2013100,1999713,13387,2013100,31.9,99.33500571258259,0.6649942874174161,paired_end,126.0199999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188503,399,2600962,30-350,65,271.8068476202267,2450002,2439804,10198,2450002,31.9,99.5837554418323,0.4162445581677076,paired_end,153.15,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.9,Sensitive,0,T2,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▫▪▪▪
DRR188504,1579,2550116,30-350,65,273.6487940156448,2397506,2379597,17909,2397506,31.5,99.253015425196,0.7469845748039837,paired_end,149.5999999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188505,1527,2494543,30-350,65,274.7772966832001,2358638,2343007,15631,2358638,31.4,99.33728702751331,0.6627129724866638,paired_end,147.4099999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188506,1564,2652930,30-350,65,274.0339149544089,2520118,2499324,20794,2520118,31.5,99.17487990641709,0.8251200935829196,paired_end,156.3399999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188507,1585,2180867,30-350,65,282.6453607670711,2115320,2091842,23478,2115320,31.1,98.89009700659949,1.109902993400526,paired_end,132.9199999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Other,1,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188508,1519,2024673,30-350,65,281.3554969123409,1963968,1950222,13746,1963968,31.2,99.30009042917195,0.699909570828038,paired_end,123.6399999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188509,946,2270317,30-350,65,284.0762704062913,2206784,2187720,19064,2206784,31.3,99.13611844204054,0.8638815579594559,paired_end,140.2699999999999,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.5,Sensitive,0,H3,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▪▫▫▫▫▪▪▫▫▫▫▫
DRR188510,1547,2396689,30-350,65,282.4607798508692,2323990,2302384,21606,2323990,31.4,99.07030581026596,0.9296941897340352,paired_end,146.6999999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188511,2161,1942037,30-350,65,282.6535611834378,1881802,1862882,18920,1881802,31.4,98.99458072634634,1.005419273653658,paired_end,119.0499999999996,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage1,lineage1.1.1.1,Sensitive,0,EAI4-VNM,▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▪▫▫▫▫▪▫▪▪▪▪▪▪▪▪▪
DRR188512,1528,2392895,30-350,65,270.6364040210707,2311118,2289965,21153,2311118,31.3,99.08472868975102,0.9152713102489792,paired_end,139.7999999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188513,1510,2249971,30-350,65,283.1185984174907,2184450,2165868,18582,2184450,31.3,99.14935109524136,0.8506489047586349,paired_end,138.1799999999997,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▪▪▪▪
DRR188514,1497,1730138,30-350,65,274.7773772959151,1671976,1659046,12930,1671976,31.5,99.22666354062498,0.7733364593750149,paired_end,103.3999999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage2,lineage2.2.1,Sensitive,0,Beijing,▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▫▪▪▪▪▪▫▪▪▪
DRR188515,929,2447275,30-350,65,287.4571292560092,2384938,2365626,19312,2384938,31.3,99.19025148662143,0.8097485133785448,paired_end,152.6799999999998,PRJDB7494,DRP007602,Japan,Asia,East Asia,lineage4,lineage4.3,Pre-MDR,1,LAM9,▪▪▪▫▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪▪▫▫▫▫▪▪▪▪▪▪▪
